score,quality,finalscore
90.628571,30.24,93.6799997
92.28,28.8,93.396
91.307692,29.41,93.3253844
90.227272,30.09,93.2490904
88.695652,31.12,93.2069564
90.035714,30.12,93.1449998
91.304347,28.96,92.8730429
89.826086,29.88,92.7582602
90.333333,29.02,92.2533331
90.5,28.89,92.24
91.333333,28.29,92.2233331
85.730769,31.95,91.9615383
90.846153,27.87,91.4623071
91.041666,27.33,91.0591662
89.260869,28.51,90.9926083
88.48,28.81,90.746
87.75,29.25,90.675
88.95238,28.12,90.386666
87.208333,29.17,90.2158331
88.458333,28.04,89.9608331
87.666666,28.53,89.8966662
84.48,30.21,89.346
86.318181,28.88,89.3027267
86,28.75,88.95
85.12,29.1,88.684
90.4,25.36,88.64
86.761904,27.87,88.6033328
83.884615,29.23,87.9492305
80.25,31.7,87.875
87.095238,26.55,87.5166666
83.263157,29.14,87.4242099
84.95238,27.78,87.246666
82,29.82,87.22
83.380952,28.39,86.7566664
82.73913,28.34,86.257391
81.862068,28.82,86.1234476
81.95238,28.75,86.116666
82.714285,28.17,86.0699995
90.37037,22.56,85.819259
81.842105,28.14,85.4294735
