score,quality,finalscore
94.096,30.99,96.8572
94.363636,30.63,96.6845452
93.045454,30.02,95.1518178
91.125,31.24,95.0275
93.683333,29.19,94.7683331
93.583333,28.77,94.2783331
90,31.24,94.24
93.590909,28.57,94.0836363
92.416666,29.03,93.7216662
93.375,28.32,93.6825
91.954545,29.27,93.6381815
91.858064,29.15,93.4506448
92.045454,28.71,93.1418178
90.490909,29.44,92.7836363
91.458333,28.71,92.7308331
90.413793,29.39,92.6796551
88.791666,30.5,92.6541662
91.25,28.7,92.575
88.846153,29.65,91.8423071
90.38,28.56,91.826
87.508333,30.12,91.3758331
88.054545,29.64,91.2781815
87.111111,30.29,91.2677777
89.84,28.35,91.238
89.80909,28.29,91.156363
89.954545,28.14,91.1081815
89.674074,28.11,90.8818518
88.427272,28.92,90.8190904
89.208333,28.35,90.7958331
89.45,28.11,90.725
89.291666,28.11,90.6141662
91.05,26.67,90.405
88.32,28.54,90.364
94.3,24.18,90.19
85.964285,30.01,90.1849995
90.763636,26.64,90.1745452
91.733333,25.74,89.9533331
88.538461,27.96,89.9369227
88.090909,28.27,89.9336363
87.884615,28.38,89.8992305
88.42,27.9,89.794
86.863636,28.89,89.6945452
87.384615,28.44,89.6092305
85.353846,29.79,89.5376922
87.407692,28.35,89.5353844
86.541666,28.95,89.5291662
86.8,28.71,89.47
86.683333,28.79,89.4683331
85.90909,29.26,89.396363
87.666666,27.94,89.3066662
90.021428,26.25,89.2649996
86.881481,28.4,89.2170367
81.97,31.82,89.199
85.7,29.1,89.09
87.107692,27.99,88.9653844
87.45,27.75,88.965
87.037037,28.01,88.9359259
86.792857,28.08,88.8349999
86.714285,28.11,88.8099995
88.935483,26.4,88.6548381
85.1,29.07,88.64
85.783333,28.23,88.2783331
87.8,26.78,88.24
86.565217,27.63,88.2256519
83.434782,29.76,88.1643474
83.75,29.52,88.145
85.28,28.43,88.126
85,28.5,88
85.848,27.75,87.8436
84.384615,28.55,87.6192305
85.086956,27.85,87.4108692
83.071428,29.25,87.3999996
90.727272,23.76,87.2690904
