score,quality,finalscore
92.153846,29.55,94.0576922
89.833333,29.66,92.5433331
89.217391,29.12,91.5721737
86.073529,29.82,90.0714703
86.333333,28.41,88.8433331
89.777777,25.79,88.6344439
85.5,28.62,88.47
86.413793,27.96,88.4496551
83.962962,29.35,88.1240734
84.392857,28.62,87.6949999
84.935483,27.35,86.8048381
83.958333,28.02,86.7908331
80.180555,30.49,86.6163885
83,27.99,86.09
79.321428,29.27,84.7949996
82.129032,26.56,84.0503224
87.103448,22.32,83.2924136
82.72,25.23,83.134
77,28.5,82.4
92.566666,17.04,81.8366662
75.793103,28.75,81.8051721
82,24,81.4
78.90625,25.56,80.794375
73.685714,28.94,80.5199998
76.318181,26.73,80.1527267
74.2,27.82,79.76
70.428571,28.1,77.3999997
76.208333,23.68,77.0258331
67.709677,28.38,75.7767739
82.541666,17.88,75.6591662
81.354838,18.03,74.9783866
80.965517,17.3,73.9758619
