score,quality,finalscore
95,30.82,97.32
92.571428,30.5,95.2999996
92.529411,29.66,94.4305877
93.333333,28.31,93.6433331
90.5,30.17,93.52
90.8,29.78,93.34
92.133333,28.37,92.8633331
91.666666,28.66,92.8266662
90,29.72,92.72
93,26.87,91.97
90.210526,28.63,91.7773682
91,28.05,91.75
89.875,28.18,91.0925
87.666666,29.72,91.0866662
88.235294,29.24,91.0047058
88.266666,28.86,90.6466662
89.17647,28.2,90.623529
86.466666,29.76,90.2866662
85.4,30.33,90.11
86.857142,28.97,89.7699994
86.235294,29.13,89.4947058
86.266666,28.88,89.2666662
86.3125,28.65,89.06875
86.5625,28.39,88.98375
85.428571,29.12,88.9199997
85.888888,28.6,88.7222216
85.857142,28.51,88.6099994
85.352941,28.8,88.5470587
88,26.91,88.51
85.571428,28.45,88.3499996
84.714285,28.47,87.7699995
93,21.49,86.59
82.5,28.71,86.46
89.333333,23.89,86.4233331
82.571428,28.51,86.3099996
88.647058,23.01,85.0629406
88.222222,23.3,85.0555554
85.294117,25.2,84.9058819
87.714285,23.42,84.8199995
