score,quality,finalscore
92.882352,30.35,95.3676464
89.078947,32.77,95.1252629
93.457142,28.91,94.3299994
90.742857,30.39,93.9099999
90.447368,30.18,93.4931576
89.133333,30.98,93.3733331
91.945945,28.86,93.2221615
90.742857,29.7,93.2199999
91.628571,28.96,93.0999997
89.75,30.1,92.925
92.121212,28.28,92.7648484
89.393939,29.74,92.3157573
91.774193,27.99,92.2319351
89.088235,29.83,92.1917645
89.233333,29.33,91.7933331
87.8125,29.91,91.37875
88.135135,29.54,91.2345945
88.515151,29.1,91.0606057
88.457142,28.96,90.8799994
89,28.57,90.87
87.138888,29.8,90.7972216
86.121951,30.48,90.7653657
84.216216,31.7,90.6513512
88.142857,28.86,90.5599999
86.027777,30.32,90.5394439
85.09375,30.39,89.955625
85.243902,30.13,89.8007314
85.9,29.62,89.75
84.8,30.33,89.69
85.696969,29.67,89.6578783
85.459459,29.69,89.5116213
87.307692,28.35,89.4653844
86,29.12,89.32
86.914285,28.46,89.2999995
86.621621,28.4,89.0351347
85.916666,28.6,88.7416662
86.314285,28.21,88.6299995
84.885714,29.2,88.6199998
83.588235,29.94,88.4517645
85.696969,28.4,88.3878783
84.057142,29.49,88.3299994
86.942857,27.33,88.1899999
86.641025,27.49,88.1387175
85.405405,28.31,88.0937835
83.948717,29.32,88.0841019
84.823529,28.6,87.9764703
86.171428,27.63,87.9499996
86.37037,27.48,87.939259
84.735294,28.59,87.9047058
84.970588,28.41,87.8894116
85.297297,28.18,87.8881079
83.848484,29.1,87.7939388
84.441176,28.53,87.6388232
82.945945,29.57,87.6321615
85.363636,27.83,87.5845452
90.272727,24.25,87.4409089
83.114285,28.99,87.1699995
83.135135,28.96,87.1545945
84.941176,27.65,87.1088232
84.121212,28.21,87.0948484
81.939393,29.72,87.0775751
83,28.94,87.04
84.297297,28.02,87.0281079
81.935483,29.53,86.8848381
83,28.59,86.69
83.558823,28.12,86.6111761
82.192307,29.07,86.6046149
