score,quality,finalscore
92.703703,30.71,95.6025921
90.6,29.3,92.72
89.448275,28.82,91.4337925
87.542857,29.71,90.9899999
89.65625,27.72,90.479375
87.620689,28.48,89.8144823
85,29.26,88.76
85.617647,28.17,88.1023529
83.741935,29.4,88.0193545
84.714285,28.08,87.3799995
84.21875,27.93,86.883125
83.08,28.14,86.296
82.033333,27.6,85.0233331
79.939393,28.92,84.8775751
79.866666,28.66,84.5666662
80.46875,28.05,84.378125
80.575757,27.49,83.8930299
80.233333,27.4,83.5633331
82.566666,25.57,83.3666662
79.37931,27.36,82.925517
75.793103,29.73,82.7851721
77.09375,27.81,81.775625
81.588235,24.28,81.3917645
76.115384,27.63,80.9107688
83.228571,22.2,80.4599997
75.74074,27.42,80.438518
