score,quality,finalscore
92.40625,27.87,92.554375
88.548387,29.1,91.0838709
86.206896,29.81,90.1548272
84.542857,29.99,89.1699999
87.277777,27.96,89.0544439
84.387096,29.23,88.3009672
83.142857,30.09,88.2899999
85.16129,28.48,88.092903
85.4,28.29,88.07
83.774193,29.41,88.0519351
84.848484,28.37,87.7639388
85.551724,27.36,87.2462068
83.741935,28.44,87.0593545
83.53125,27.84,86.311875
80.46875,29.41,85.738125
81.903225,28.35,85.6822575
82,28.19,85.59
82.285714,27.75,85.3499998
81.4375,28.33,85.33625
82,27.93,85.33
81.969696,27.93,85.3087872
81.787878,28.02,85.2715146
80.848484,28.51,85.1039388
83.566666,25.95,84.4466662
79.967741,28.43,84.4074187
79.088235,28.87,84.2317645
79.939393,28.02,83.9775751
78.566666,28.61,83.6066662
79.848484,27.54,83.4339388
75.793103,29.6,82.6551721
77.882352,27.71,82.2276464
77.558823,27.88,82.1711761
83.566666,23.64,82.1366662
77.696969,27.21,81.5978783
76.484848,27.49,81.0293936
83.966666,22,80.7766662
75.90909,27.54,80.676363
84.645161,21.12,80.3716127
81.516129,23.19,80.2512903
88.621621,18.1,80.1351347
75.212121,27.36,80.0084847
