score,quality,finalscore
91.575757,29.64,93.7430299
91.030303,29.66,93.3812121
90.696969,29.21,92.6978783
90.21875,29,92.153125
89.3,29.64,92.15
87.53125,30.52,91.791875
89.346153,29.16,91.7023071
89.266666,28.64,91.1266662
86.8,29.78,90.54
88.060606,28.61,90.2524242
87.964285,28.51,90.0849995
86.743589,29.25,89.9705123
87.135135,28.33,89.3245945
85.7,29.31,89.3
85.971428,28.6,88.7799996
84.714285,29.42,88.7199995
84.96875,29.06,88.538125
82.59375,30.7,88.515625
84.545454,29.01,88.1918178
84.789473,28.72,88.0726311
85.527777,28.14,88.0094439
85.266666,28.2,87.8866662
84.516129,28.28,87.4412903
83.90909,28.67,87.406363
83.032258,29.27,87.3925806
83.515151,28.88,87.3406057
82.75,29.37,87.295
82.258064,29.57,87.1506448
84.282051,27.93,86.9274357
84.515151,27.74,86.9006057
83.677419,28.13,86.7041933
83.657142,28.14,86.6999994
81.25,29.8,86.675
84.407407,27.51,86.5951849
82.371428,28.9,86.5599996
82.657142,28.51,86.3699994
81.90909,28.93,86.266363
81.914285,28.77,86.1099995
82.542857,27.86,85.6399999
80.064516,29.53,85.5751612
81.628571,28.18,85.3199997
81.848484,27.79,85.0839388
83.290322,26.62,84.9232254
80.342105,28.68,84.9194735
81.172413,27.97,84.7906891
81.166666,27.89,84.7066662
82.121212,27.11,84.5948484
77.857142,29.96,84.4599994
80.305555,28.15,84.3638885
78.558823,29.1,84.0911761
78.90909,28.76,83.996363
82.060606,26.32,83.7624242
79.939393,27.78,83.7375751
78.897435,28.5,83.7282045
78.454545,28.78,83.6981815
77.028571,29.68,83.5999997
79.482758,27.91,83.5479306
79.354838,27.94,83.4883866
78.805555,28.25,83.4138885
79.090909,27.65,83.0136363
78.571428,27.99,82.9899996
79.225806,27.42,82.8780642
77.969696,28.14,82.7187872
77.16129,28.64,82.652903
78.71875,27.48,82.583125
76.166666,29.21,82.5266662
82,25.11,82.51
77.32258,28.29,82.415806
78.32258,27.57,82.395806
77.515151,27.9,82.1606057
76.085714,28.53,81.7899998
75.354838,29.03,81.7783866
76.085714,28.37,81.6299998
74.2,29.44,81.38
76.060606,28.13,81.3724242
76.696969,27.57,81.2578783
76.71875,27.43,81.133125
73.972972,29.29,81.0710804
74.709677,28.58,80.8767739
72.5,30.12,80.87
75.064516,28.2,80.7451612
75.419354,27.87,80.6635478
81.620689,23.49,80.6244823
77.054054,26.68,80.6178378
75.25,27.93,80.605
73.352941,29.19,80.5370587
75.060606,27.77,80.3124242
75.88,27.08,80.196
73.848484,28.49,80.1839388
74.4375,28.06,80.16625
74.60606,27.74,79.964242
