score,quality,finalscore
87.645161,28.91,90.2616127
82.081081,32,89.4567567
82.629629,30.5,88.3407403
83.133333,28.39,86.5833331
82.107142,29.06,86.5349994
79.838709,30.11,85.9970963
79.878787,29.73,85.6451509
82.366666,27.87,85.5266662
81.354838,28.23,85.1783866
80,28.14,84.14
79.46875,28.25,83.878125
76.588235,27.97,81.5817645
76.646666,27.84,81.4926662
80.129032,25.27,81.3603224
76.6875,27.6,81.28125
75.333333,27.66,80.3933331
72.774193,29.01,79.9519351
75,27.42,79.92
74.1875,27.57,79.50125
74.241379,27.33,79.2989653
79.366666,23.46,79.0166662
77.75,24.24,78.665
72.28,27.66,78.256
79.741935,22.04,77.8593545
75.59375,24.24,77.155625
74.548387,24.32,76.5038709
67.833333,29.02,76.5033331
69.354838,27.82,76.3683866
68.666666,28.29,76.3566662
78.064516,20.89,75.5351612
74.733333,22.71,75.0233331
71.266666,24.99,74.8766662
74.709677,22.33,74.6267739
73.60606,23.04,74.564242
