score,quality,finalscore
89.066666,30.62,92.9666662
90.529411,28.08,91.4505877
90.171428,28.28,91.3999996
88.090909,28.92,90.5836363
87.828571,29.08,90.5599997
87.818181,28.84,90.3127267
87.757575,28.49,89.9203025
86.774193,29.14,89.8819351
88.428571,27.69,89.5899997
85.121212,29.86,89.4448484
85.575757,29.37,89.2730299
86.575757,28.51,89.1130299
86.848484,27.93,88.7239388
85.939393,28.47,88.6275751
84,29.71,88.51
84.757575,28.71,88.0403025
85.275862,28.25,87.9431034
85.648648,27.84,87.7940536
84.848484,28.39,87.7839388
86.709677,26.68,87.3767739
84.548387,28.19,87.3738709
84.903225,27.92,87.3522575
84.21875,28.05,87.003125
83.147058,28.74,86.9429406
84.1,27.7,86.57
82.454545,28.84,86.5581815
83.90625,27.8,86.534375
83.90909,27.57,86.306363
82.878787,28.27,86.2851509
83.833333,27.51,86.1933331
85.060606,26.13,85.6724242
87.3125,24.29,85.40875
78.242424,30.5,85.2696968
80.861111,28.32,84.9227777
84.60606,25.55,84.774242
80.060606,28.31,84.3524242
80.970588,27.55,84.2294116
86.461538,23.63,84.1530766
89.034482,21.7,84.0241374
81.433333,27,84.0033331
87.8125,22.13,83.59875
81.064516,26.79,83.5351612
79,28.19,83.49
82.428571,25.56,83.2599997
80.636363,26.3,82.7454541
78.535714,27.57,82.5449998
86.181818,22.2,82.5272726
76.294117,28.98,82.3858819
80.37931,26.06,82.325517
84.264705,23.34,82.3252935
80.735294,25.68,82.1947058
