score,quality,finalscore
92.884615,29.18,94.1992305
92.44,28.78,93.488
91.038461,29.64,93.3669227
91.925925,28.58,92.9281475
90.68,29.11,92.586
90.178571,29.46,92.5849997
91.259259,28.69,92.5714813
91.407407,28.44,92.4251849
90.56,29.01,92.402
89.32,29.57,92.094
89.692307,29.19,91.9746149
89.965517,28.9,91.8758619
89.28,29.32,91.816
88.88,29.51,91.726
89.384615,29.12,91.6892305
90.12,28.53,91.614
88.807692,29.11,91.2753844
89.913043,28.26,91.1991301
89.64,28.33,91.078
88.965517,28.79,91.0658619
88.962962,28.65,90.9240734
88.724137,28.63,90.7368959
88.518518,28.7,90.6629626
87.111111,29.54,90.5177777
87.903225,28.94,90.4722575
87.26923,29.36,90.448461
89.48,27.79,90.426
88.310344,28.59,90.4072408
88.88,28.19,90.406
87.814814,28.89,90.3603698
87.192307,29.28,90.3146149
87.6,28.99,90.31
87.64,28.93,90.278
88.703703,28.18,90.2725921
86.777777,29.48,90.2244439
87.37037,28.94,90.099259
86.92,29.25,90.094
88.074074,28.42,90.0718518
85.92,29.88,90.024
87.64,28.65,89.998
86.407407,29.44,89.9251849
86.84,29.09,89.878
87.481481,28.64,89.8770367
86.814814,29.1,89.8703698
88.04,28.19,89.818
88.607142,27.78,89.8049994
86.555555,29.21,89.7988885
87.24,28.73,89.798
86.962962,28.88,89.7540734
86.259259,29.36,89.7414813
87.576923,28.39,89.6938461
87.407407,28.5,89.6851849
86.5,29.12,89.67
91.481481,25.53,89.5670367
87.153846,28.53,89.5376922
86.185185,29.18,89.5096295
86.592592,28.89,89.5048144
85.851851,29.4,89.4962957
87.64,28.14,89.488
87.296296,28.29,89.3974072
87.448275,28.17,89.3837925
86.72,28.59,89.294
86.08,28.95,89.206
86.28,28.77,89.166
87,28.26,89.16
86.869565,28.33,89.1386955
87.16,28.11,89.122
85.925925,28.97,89.1181475
86.111111,28.84,89.1177777
85.115384,29.51,89.0907688
86.04,28.86,89.088
87.24,27.99,89.058
86.185185,28.71,89.0396295
85.444444,29.16,88.9711108
85.44,29.14,88.948
85.444444,29.11,88.9211108
86.96,27.99,88.862
86.84,28.05,88.838
90.8,25.25,88.81
86.8,28.02,88.78
85.74074,28.76,88.778518
85.115384,29.15,88.7307688
85.72,28.65,88.654
86.214285,28.27,88.6199995
86.321428,28.19,88.6149996
84.74074,29.29,88.608518
84.28,29.61,88.606
86,28.39,88.59
85.76923,28.51,88.548461
85.44,28.73,88.538
86.037037,28.23,88.4559259
86.730769,27.72,88.4315383
85.28,28.71,88.406
86.925925,27.53,88.3781475
84.68,29.06,88.336
86.08,28.07,88.326
84.4,29.19,88.27
83.52,29.79,88.254
85.64,28.3,88.248
84.037037,29.42,88.2459259
84.428571,29.11,88.2099997
85.153846,28.57,88.1776922
85.296296,28.43,88.1374072
84.827586,28.75,88.1293102
83.74074,29.5,88.118518
87.884615,26.58,88.0992305
85.642857,28.03,87.9799999
87.8,26.43,87.89
83.555555,29.4,87.8888885
85.185185,28.25,87.8796295
83.888888,29.14,87.8622216
83.814814,29.16,87.8303698
84.8,28.47,87.83
83.28,29.53,87.826
84.74074,28.5,87.818518
85.153846,28.21,87.8176922
84.26923,28.82,87.808461
85,28.29,87.79
84.04,28.96,87.788
83.64,29.23,87.778
82.92,29.71,87.754
83.037037,29.62,87.7459259
84.481481,28.58,87.7170367
84.8,28.31,87.67
84.2,28.69,87.63
83.629629,29.03,87.5707403
84.827586,28.18,87.5593102
84.346153,28.51,87.5523071
84.36,28.47,87.522
85.48,27.68,87.516
83.28,29.2,87.496
83.428571,29.09,87.4899997
83.56,28.99,87.482
84.48,28.32,87.456
83.76,28.81,87.442
83.444444,29.02,87.4311108
84,28.62,87.42
84.75,28.09,87.415
84.851851,28,87.3962957
85.44,27.57,87.378
82.444444,29.66,87.3711108
83.44,28.93,87.338
83.653846,28.77,87.3276922
83.96,28.55,87.322
83.333333,28.98,87.3133331
83.56,28.81,87.302
88.111111,25.62,87.2977777
84.923076,27.83,87.2761532
84,28.47,87.27
84.16,28.35,87.262
83.925925,28.5,87.2481475
83.428571,28.77,87.1699997
86.551724,26.58,87.1662068
84.241379,28.15,87.1189653
83.777777,28.47,87.1144439
86.12,26.82,87.104
83.16,28.89,87.102
83.16,28.88,87.092
87.56,25.77,87.062
84.038461,28.21,87.0369227
82.777777,29.09,87.0344439
83.5,28.57,87.02
83.925925,28.25,86.9981475
82.518518,29.21,86.9729626
86.74074,26.25,86.968518
83.76923,28.32,86.958461
83.925925,28.19,86.9381475
80.827586,30.35,86.9293102
84.12,28.02,86.904
81.88,29.56,86.876
82.96,28.74,86.812
83.851851,28.11,86.8062957
83.344827,28.4,86.7413789
83.72,28.05,86.654
82.884615,28.62,86.6392305
83.88,27.91,86.626
82.444444,28.9,86.6111108
82.884615,28.59,86.6092305
82.2,29.05,86.59
83.12,28.4,86.584
82.074074,29.13,86.5818518
82.259259,29,86.5814813
85.36,26.82,86.572
83.153846,28.36,86.5676922
83.423076,28.14,86.5361532
82.04,29.08,86.508
85.407407,26.67,86.4551849
81.36,29.48,86.432
83.777777,27.77,86.4144439
85.6,26.49,86.41
81.814814,29.11,86.3803698
82.44,28.66,86.368
83.04,28.23,86.358
83.84,27.66,86.348
82.814814,28.35,86.3203698
81.8,29.04,86.3
82,28.85,86.25
82.629629,28.37,86.2107403
82.862068,28.2,86.2034476
82.26923,28.55,86.138461
81.851851,28.83,86.1262957
80.074074,30.06,86.1118518
82.888888,28.08,86.1022216
83.12,27.9,86.084
82.481481,28.34,86.0770367
82.4,28.37,86.05
82.392857,28.35,86.0249999
89.2,23.58,86.02
82.703703,28.09,85.9825921
80.888888,29.33,85.9522216
84.481481,26.78,85.9170367
82.64,28.05,85.898
82.25,28.32,85.895
82.76,27.96,85.892
82.52,28.11,85.874
81.84,28.51,85.798
80.76,29.23,85.762
82,28.35,85.75
81.72,28.54,85.744
90.4,22.46,85.74
81.68,28.56,85.736
81.185185,28.9,85.7296295
83.92,26.94,85.684
81.88,28.35,85.666
82,28.26,85.66
86.37037,25.17,85.629259
82,28.22,85.62
82.413793,27.89,85.5796551
80.964285,28.86,85.5349995
80.423076,29.14,85.4361532
80.777777,28.81,85.3544439
82.076923,27.9,85.3538461
81.821428,28.05,85.3249996
82.36,27.63,85.282
85.68,25.29,85.266
81.28,28.37,85.266
85.928571,25.11,85.2599997
80.703703,28.76,85.2525921
86.925925,24.38,85.2281475
81.068965,28.47,85.2182755
80.48,28.87,85.206
80.75862,28.67,85.201034
81.629629,28.05,85.1907403
