score,quality,finalscore
89.782608,27.81,90.6578256
88.434782,28.52,90.4243474
87,28.85,89.75
86.36,28.23,88.682
84.73913,29.13,88.447391
85.333333,28.55,88.2833331
82.73913,30.24,88.157391
84.869565,28.53,87.9386955
84.380952,28.65,87.7166664
85.36,27.92,87.672
83.173913,29.25,87.4717391
82.142857,29.79,87.2899999
83.708333,28.38,86.9758331
87.652173,25.55,86.9065211
82.043478,29.37,86.8004346
82.565217,28.88,86.6756519
81.636363,29.51,86.6554541
82.347826,28.82,86.4634782
83.96,27.69,86.462
88.68,24.29,86.366
83.869565,27.6,86.3086955
83.086956,28,86.1608692
85.791666,25.94,85.9941662
82.375,28.29,85.9525
82.73913,27.9,85.817391
82.652173,27.89,85.7465211
80.826086,28.96,85.5382602
79.285714,29.98,85.4799998
81.782608,28.14,85.3878256
81.565217,27.98,85.0756519
81.391304,28.03,85.0039128
81.086956,28.18,84.9408692
81.44,27.89,84.898
80.913043,27.83,84.4691301
79.869565,28.18,84.0886955
80.391304,27.77,84.0439128
79.75,27.9,83.725
