quality,num_of_activity
29.37,17
28.31,10
30.16,11
28.5,10
28.04,12
28.83,10
28.38,10
29.15,12
29.34,14
27.93,8
28.47,9
28.08,7
28.86,7
28.66,8
28.56,18
28.67,9
28.24,9
28.47,10
27.98,8
28.67,10
27.88,13
28.81,11
29.03,10
28.44,7
28.53,13
30.43,12
28.36,7
28.2,7
28.19,9
28.09,15
25.34,6
28.52,9
28.1,10
28.87,10
26.69,7
28.53,9
28.2,9
27.94,10
28.87,11
28.59,10
28.14,10
27.6,8
28.08,9
28.38,10
28.56,11
28.69,8
28.81,15
28.36,7
28.74,11
28.23,15
28.22,9
28.06,7
28.31,7
27.93,9
28.46,15
28.74,10
26.52,7
28.14,9
27.21,7
27.24,6
27.84,5
28.22,7
28.41,8
28.26,6
29.45,16
28.15,12
26.84,6
29.13,16
28.32,10
27.86,8
28.76,11
25.35,6
28.14,11
28.23,11
28.34,8
27.78,9
27.21,6
28.1,7
28.44,11
29.18,8
27.5,14
28.53,14
27.81,6
25.54,7
27.99,8
28.64,7
27.79,7
28.35,8
27.89,8
28.66,11
24.06,5
27.69,8
28.13,8
27.57,8
25.14,6
26.98,8
30.83,11
29.24,14
28.51,20
25.44,6
27.38,7
29.11,12
24.48,7
27.7,8
26.25,8
28.26,8
19.79,4
24.76,6
