quality,num_of_activity
29.18,10
28.78,10
29.64,12
28.58,8
29.11,13
29.46,13
28.69,10
28.44,9
29.01,13
29.57,14
29.19,13
28.9,10
29.32,22
29.51,24
29.12,24
28.53,10
29.11,10
28.26,8
28.33,10
28.79,15
28.65,9
28.63,8
28.7,10
29.54,13
28.94,21
29.36,17
27.79,13
28.59,13
28.19,10
28.89,10
29.28,10
28.99,7
28.93,12
28.18,12
29.48,13
28.94,12
29.25,12
28.42,9
29.88,20
28.65,10
29.44,17
29.09,13
28.64,9
29.1,12
28.19,8
27.78,20
29.21,14
28.73,10
28.88,12
29.36,16
28.39,8
28.5,13
29.12,9
25.53,7
28.53,14
29.18,15
28.89,13
29.4,14
28.14,13
28.29,10
28.17,10
28.59,14
28.95,16
28.77,12
28.26,10
28.33,10
28.11,17
28.97,14
28.84,14
29.51,23
28.86,12
27.99,11
28.71,10
29.16,16
29.14,15
29.11,13
27.99,13
28.05,8
25.25,7
28.02,8
28.76,9
29.15,14
28.65,11
28.27,12
28.19,16
29.29,13
29.61,11
28.39,12
28.51,15
28.73,10
28.23,13
27.72,10
28.71,8
27.53,9
29.06,14
28.07,9
29.19,16
29.79,23
28.3,16
29.42,11
29.11,11
28.57,10
28.43,15
28.75,11
29.5,12
26.58,7
28.03,9
26.43,7
29.4,20
28.25,13
29.14,13
29.16,12
28.47,7
29.53,9
28.5,9
28.21,8
28.82,12
28.29,9
28.96,15
29.23,21
29.71,14
29.62,16
28.58,9
28.31,10
28.69,12
29.03,11
28.18,22
28.51,10
28.47,7
27.68,7
29.2,11
29.09,12
28.99,14
28.32,7
28.81,8
29.02,13
28.62,14
28.09,8
28,12
27.57,11
29.66,11
28.93,17
28.77,11
28.55,13
28.98,12
28.81,13
25.62,8
27.83,9
28.47,8
28.35,9
28.5,9
28.77,14
26.58,8
28.15,10
28.47,13
26.82,9
28.89,14
28.88,9
25.77,6
28.21,12
29.09,12
28.57,15
28.25,10
29.21,12
26.25,10
28.32,12
28.19,13
30.35,11
28.02,9
29.56,20
28.74,8
28.11,10
28.4,13
28.05,9
28.62,11
27.91,7
28.9,12
28.59,14
29.05,16
28.4,11
29.13,13
29,12
26.82,7
28.36,7
28.14,9
29.08,14
26.67,7
29.48,18
27.77,9
26.49,7
29.11,12
28.66,15
28.23,10
27.66,12
28.35,14
29.04,9
28.85,12
28.37,10
28.2,8
28.55,10
28.83,11
30.06,17
28.08,10
27.9,9
28.34,12
28.37,11
28.35,11
23.58,5
28.09,10
29.33,14
26.78,10
28.05,13
28.32,10
27.96,10
28.11,11
28.51,8
29.23,10
28.35,9
28.54,9
22.46,6
28.56,7
28.9,8
26.94,8
28.35,10
28.26,9
25.17,8
28.22,11
27.89,10
28.86,14
29.14,12
28.81,8
27.9,8
28.05,9
27.63,9
25.29,7
28.37,12
25.11,7
28.76,12
24.38,9
28.47,10
28.87,15
28.67,12
28.05,7
